file_name,movie_name,audience_rating,rating_key,year
F:\Movies\Tetris.2023.1080p.WebRip.X264.Will1869\Tetris.2023.1080p.WebRip.X264.Will1869.mp4,Tetris.2023.1080p.WebRip.X264.Will1869,7.4,147677,2023
F:\Movies\Tetris.2023.1080p.10bit.WEBRip.6CH.x265.HEVC-PSA.mkv,Tetris.2023.1080p.WebRip.X264.Will1869,7.4,147677,2023
G:\movies\Tetris (2023)\Tetris.2023.1080p.10bit.WEBRip.6CH.x265.HEVC-PSA.mkv,Tetris.2023.1080p.WebRip.X264.Will1869,7.4,147677,2023
F:\Movies\Tetris.2023.1080p.WEBRip.x264-LAMA\Tetris.2023.1080p.WEBRip.x264-LAMA.mp4,Tetris.2023.1080p.WebRip.X264.Will1869,7.4,147677,2023
F:\Movies\Tetris.2023.MULTI.1080p.WEB.H264-LOST\tetris.2023.multi.1080p.web.h264-lost.mkv,Tetris.2023.1080p.WebRip.X264.Will1869,7.4,147677,2023
F:\Movies\Tetris.2023.1080p.WebRip.x265.10Bit.AC3.5.1-JATT\Tetris.2023.1080p.WebRip.x265.10Bit.AC3.5.1-JATT.mkv,Tetris.2023.1080p.WebRip.X264.Will1869,7.4,147677,2023
G:\movies\The Texas Chainsaw Massacre (2003)\The Texas Chainsaw Massacre 2003 BluRay 10Bit 1080p DD5.1 H265-d3g.mkv,The Texas Chainsaw Massacre,6.2,132703,2003
G:\movies\The Texas Chainsaw Massacre The Beginning (2006)\The.Texas.Chainsaw.Massacre.The.Beginning.2006.UNRATED.Bluray.1080p.DTS-HD.MA.5.1.x264-NoHaTE.mkv,The Texas Chainsaw Massacre: The Beginning,5.8,133831,2006
G:\movies\The Hand that Rocks the Cradle (1992)\The.Hand.That.Rocks.The.Cradle.1992.1080p.BluRay.H264.AC3.DD5.1.Will1869.mp4,The.Hand.That.Rocks.The.Cradle.1992.1080p.BluRay.H264.AC3.DD5.1.Will1869,6.7,122096,1992
G:\movies\The Little Things (2021)\The.Little.Things.2021.1080p.V2.WebRip.X264.AC3.WARRIORS.mp4,The.Little.Things.2021.1080p.V2.WebRip.X264.AC3.WARRIORS,6.3,133200,2021
G:\Sonarr\The.Northman.2022.1080p.WebRip.H264.AC3.Will1869\The.Northman.2022.1080p.WebRip.H264.AC3.Will1869.mp4,The.Northman.2022.1080p.WebRip.H264.AC3.Will1869,7.4,133930,2022
G:\movies\The Northman (2022)\The Northman (2022) WEBDL-1080p.mkv,The.Northman.2022.1080p.WebRip.H264.AC3.Will1869,7.4,133930,2022
F:\Movies\Thirteen.Lives.2022.1080p.AMZN.WEB-DL.DDP5.1.H.264-CMRG\Thirteen.Lives.2022.1080p.AMZN.WEB-DL.DDP5.1.H.264-CMRG.mkv,Thirteen Lives,7.8,136329,2022
F:\Movies\Thirteen.Lives.2022.1080p.WEB.H264-NAISU\thirteen.lives.2022.1080p.web.h264-naisu.mkv,Thirteen Lives,7.8,136329,2022
G:\movies\Thirteen Lives (2022)\Thirteen.Lives.2022.1080p.WEB.H264-NAISU.mkv,Thirteen Lives,7.8,136329,2022
G:\movies\Thor (2011)\Thor (2011) Bluray-1080p Proper.mkv,Thor,7.0,134569,2011
G:\movies\Thor God of Thunder (2022)\Thor God of Thunder (2022) WEBDL-1080p.mkv,Thor: God of Thunder,6.0,134596,2022
F:\Movies\Thor.Love.and.Thunder.1080p.WEB-DL.DDP5.1.H.264-EVO.mkv,Thor: Love and Thunder,6.3,136909,2022
F:\Movies\Thor.Love.and.Thunder.2022.IMAX.1080p.DSNP.WEB-DL.DDP5.1.Atmos.H.264-EVO\Thor.Love.and.Thunder.2022.IMAX.1080p.DSNP.WEB-DL.DDP5.1.Atmos.H.264-EVO.mkv,Thor: Love and Thunder,6.3,136909,2022
F:\Movies\Thor.Love.and.Thunder.2022.1080p.BluRay.REMUX.AVC.DTS-HD.MA.7.1-PiRaTeS.mkv,Thor: Love and Thunder,6.3,136909,2022
F:\Movies\Thor Love and Thunder 2022 BluRay 1080p REMUX AVC DTS-HD MA 7.1-LEGi0N\Thor.Love.and.Thunder.2022.BluRay.1080p.REMUX.AVC.DTS-HD.MA.7.1-LEGi0N.mkv,Thor: Love and Thunder,6.3,136909,2022
F:\Movies\Thor.Love.and.Thunder.2022.iNTERNAL.1080p.WEB.H264-XSP.mkv,Thor: Love and Thunder,6.3,136909,2022
F:\Movies\Thor - Love and Thunder 2022 br 10bit hevc-d3g\Thor - Love and Thunder 2022 BluRay 10Bit 1080p DDP5.1 H265-d3g.mkv,Thor: Love and Thunder,6.3,136909,2022
F:\Movies\Thor.Love.and.Thunder.2022.1080p.UHD.BluRay.DDP7.1.DV.x265-c0kE.mkv,Thor: Love and Thunder,6.3,136909,2022
F:\Movies\Thor - Love and Thunder (2022) (1080p BDRip x265 10bit EAC3 7.1 - JBENT)[TAoE].mkv,Thor: Love and Thunder,6.3,136909,2022
G:\movies\Thor Love and Thunder (2022)\Thor.Love.and.Thunder.2022.iNTERNAL.1080p.WEB.H264-XSP.mkv,Thor: Love and Thunder,6.3,136909,2022
G:\movies\Thor Love and Thunder (2022)\Thor.Love.and.Thunder.2022.IMAX.1080p.DSNP.WEB-DL.DDP5.1.Atmos.H.264-EVO.mkv,Thor: Love and Thunder,6.3,136909,2022
G:\movies\Thor Love and Thunder (2022)\Thor.Love.and.Thunder.2022.1080p.BluRay.REMUX.AVC.DTS-HD.MA.7.1-PiRaTeS.mkv,Thor: Love and Thunder,6.3,136909,2022
